word_id,word,frequency
1,amp,21136
2,harlequin,13705
3,books,13473
4,house,12555
5,pub,10699
6,penguin,9765
7,guide,8344
8,bantam,8147
9,john,8117
10,new,7694
11,life,7687
12,martin,7677
13,mystery,7303
14,silhouette,7069
15,random,7041
16,love,6523
17,st,6291
18,simon,6099
19,world,5959
20,library,5853
21,scholastic,5738
22,pocket,5628
23,classic,5473
24,mm,5221
25,university,5105
26,robert,5072
27,little,5072
28,american,5072
29,usa,5039
30,david,4931
31,romance,4858
32,william,4753
33,child,4686
34,woman,4660
35,man,4597
36,james,4524
37,dell,4386
38,time,4304
39,warner,4172
40,michael,4125
41,ballantine,4054
42,schuster,4038
43,berkley,3915
44,de,3892
45,star,3737
46,good,3623
47,harpercollin,3413
48,richard,3335
49,brown,3270
50,thomas,3262
51,die,3246
52,hill,3216
53,der,3157
54,mary,3007
55,signet,3003
56,peter,2954
57,golden,2939
58,vintage,2926
59,harpercollins,2863
60,avon,2849
61,great,2776
62,history,2763
63,secret,2710
64,war,2664
65,heart,2595
66,paul,2569
67,putnam,2553
68,day,2544
69,america,2528
70,tor,2518
71,oxford,2503
72,zebra,2490
73,barbara,2477
74,harper,2452
75,fawcett,2452
76,art,2371
77,jane,2364
78,adventure,2338
79,stephen,2318
80,anne,2292
81,complete,2280
82,mass,2250
83,king,2223
84,la,2208
85,norton,2192
86,baby,2190
87,george,2188
88,elizabeth,2188
89,way,2169
90,night,2143
91,black,2130
92,susan,2129
93,market,2122
94,family,2108
95,del,2093
96,death,2082
97,modern,2064
98,west,2058
99,henry,2032
100,ann,2020
101,hall,2013
102,doubleday,2013
103,murder,2009
104,year,1981
105,home,1978
106,young,1963
107,present,1957
108,dream,1943
109,god,1937
110,fiction,1921
111,girl,1856
112,smith,1816
113,science,1809
114,true,1794
115,white,1788
116,communication,1787
117,dover,1787
118,perennial,1784
119,mcgraw,1758
120,el,1757
121,nancy,1743
122,jack,1739
123,pr,1733
124,puffin,1723
125,square,1704
126,work,1700
127,live,1696
128,le,1690
129,houghton,1688
130,mifflin,1686
131,trade,1685
132,verlag,1679
133,charles,1668
134,mark,1662
135,sweet,1657
136,ace,1629
137,patricia,1626
138,jove,1614
139,cat,1605
140,macmillan,1589
141,jean,1589
142,kensington,1587
143,son,1562
144,w,1560
145,christmas,1560
146,special,1553
147,children,1547
148,contemporary,1542
149,roman,1539
150,tom,1503
151,margaret,1502
152,magic,1492
153,blue,1475
154,scott,1471
155,dark,1470
156,journey,1468
157,trek,1454
158,chronicle,1418
159,rey,1410
160,big,1409
161,crime,1404
162,boy,1401
163,step,1395
164,lee,1393
165,amer,1389
166,red,1385
167,people,1378
168,dog,1376
169,club,1374
170,light,1364
171,carol,1359
172,angel,1351
173,linda,1351
174,power,1348
175,goldmann,1337
176,und,1336
177,scribner,1335
178,leisure,1331
179,moon,1330
180,arthur,1326
181,tb,1321
182,collection,1316
183,disney,1304
184,street,1293
185,holt,1288
186,wiley,1285
187,desire,1285
188,kid,1278
189,frank,1278
190,word,1276
191,handbook,1271
192,fire,1270
193,historical,1269
194,writer,1258
195,river,1257
196,valley,1255
197,lady,1253
198,rise,1248
199,look,1245
200,play,1241
201,come,1240
202,nelson,1234
203,know,1233
204,garden,1233
205,city,1231
206,joseph,1229
207,christopher,1227
208,century,1226
209,planet,1218
210,international,1216
211,das,1213
212,bear,1208
213,jim,1203
214,school,1190
215,harvest,1182
216,bride,1181
217,prentice,1174
218,dead,1171
219,bill,1168
220,trafalgar,1166
221,poem,1165
222,short,1156
223,shadow,1149
224,pubns,1143
225,high,1136
226,friend,1129
227,jones,1128
228,travel,1117
229,vol,1113
230,game,1110
231,english,1109
232,earth,1105
233,green,1103
234,harry,1098
235,edward,1095
236,lewis,1088
237,joan,1088
238,harcourt,1082
239,andrew,1081
240,shakespeare,1080
241,health,1079
242,age,1078
243,moment,1076
244,free,1065
245,knopf,1063
246,mother,1057
247,cook,1056
248,mind,1050
249,aladdin,1049
250,wild,1046
251,des,1034
252,morrow,1032
253,lose,1032
254,thing,1031
255,pan,1021
256,j,1021
257,old,1021
258,karen,1018
259,business,1016
260,kate,1014
261,taylor,1011
262,fall,1009
263,alan,1008
264,place,1005
265,gold,1002
266,large,1000
267,division,997
268,blood,992
269,intimate,991
270,cookbook,989
271,gallimard,988
272,miller,986
273,walker,985
274,alfred,980
275,philip,980
276,judith,980
277,stone,979
278,country,979
279,paper,977
280,troll,976
281,daniel,975
282,ghost,973
283,daughter,972
284,memoir,971
285,bible,968
286,north,962
287,soul,960
288,heyne,959
289,write,958
290,dictionary,957
291,vike,956
292,m,954
293,van,953
294,farrar,952
295,ed,951
296,stewart,944
297,giroux,942
298,animal,940
299,case,939
300,language,939
301,road,939
302,change,939
303,summer,938
304,andrews,938
305,straus,935
306,find,934
307,hyperion,932
308,janet,931
309,sea,929
310,lawrence,928
311,alice,918
312,pinnacle,917
313,letter,915
314,harpertrophy,908
315,go,899
316,york,896
317,eye,895
318,recipe,894
319,roberts,894
320,mountain,894
321,run,892
322,allen,890
323,donald,887
324,anthony,886
325,sister,883
326,faber,882
327,study,882
328,trilogy,881
329,mira,876
330,end,875
331,dragon,869
332,von,869
333,laura,864
334,self,863
335,douglas,861
336,body,861
337,catherine,860
338,learn,859
339,wilson,859
340,davis,856
341,lonely,851
342,price,847
343,french,846
344,spirit,844
345,wolf,844
346,brian,843
347,don,842
348,howard,840
349,wind,839
350,plume,835
351,second,834
352,williams,831
353,gary,831
354,island,827
355,master,827
356,song,826
357,lord,823
358,rowohlt,823
359,wizard,821
360,baker,820
361,regency,817
362,get,815
363,graham,814
364,e,806
365,gmbh,804
366,robin,802
367,uk,801
368,land,801
369,johnson,799
370,steve,797
371,picture,794
372,sterling,791
373,easy,791
374,steven,791
375,bruce,790
376,ii,790
377,adams,788
378,baen,784
379,univ,782
380,ein,777
381,carolyn,777
382,bad,775
383,eric,775
384,search,774
385,value,774
386,writing,773
387,field,772
388,christie,771
389,miss,768
390,walter,768
391,draw,768
392,food,766
393,louis,765
394,dr,765
395,diary,764
396,roger,763
397,real,761
398,father,759
399,leaf,757
400,superromance,757
401,carroll,756
402,basic,756
403,yearling,754
404,illustrate,752
405,helen,752
406,eagle,752
407,terry,751
408,pulse,750
409,society,750
410,sex,749
411,make,746
412,y,745
413,marriage,742
414,jonathan,742
415,fischer,741
416,agatha,741
417,sarah,739
418,human,738
419,small,735
420,du,732
421,gordon,731
422,mcmeel,729
423,education,729
424,loveswept,729
425,washington,728
426,alexander,726
427,ruth,725
428,juvenile,724
429,christian,724
430,ellen,723
431,temptation,723
432,dean,721
433,tree,721
434,diana,716
435,wisdom,711
436,sandra,708
437,harpertorch,706
438,season,704
439,joyce,703
440,bob,701
441,lynn,701
442,joe,700
443,anchor,700
444,file,700
445,coast,698
446,dick,698
447,well,697
